Paper ID,PMCID,DOI,Method,Full Text Europe PMC,HREF,Year,Author,Title
26091700,,,MS/MS,,http://doi.org/10.1074/mcp.M114.046904,2015,Szymanski WG et al.,Cytoskeletal Components Define Protein Location to Membrane Microdomains.
15210715,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15210715,2004,"Aseeva E, et al.",Complex formation of Vipp1 depends on its alpha-helical PspA-like domain.
26184996,,,GFP,,http://doi.org/10.1093/jxb/erv348,2015,Nguyen TP et al.,A role for seed storage proteins in Arabidopsis seed longevity.
23203051,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23203051,2012,"Hiltunen HM, et al.",Arabidopsis RIBA Proteins: Two out of Three Isoforms Have Lost Their Bifunctional Activity in Riboflavin Biosynthesis.
10189705,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/10189705,1999,"Saito T, et al.",Expression of a gene for cyclophilin which contains an amino-terminal endoplasmic reticulum-targeting signal
10945350,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/10945350,2000,"Makino S, et al.",Genes encoding pseudo-response regulators: insight into His-to-Asp phosphorelay and circadian rhythm in Arabidopsis thaliana
12581307,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12581307,2003,"Matsushima R, et al.","A novel ER-derived compartment, the ER body, selectively accumulates a beta-glucosidase with an ER-retention signal in Arabidopsis"
19002591,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19002591,2009,"Li H, et al.",Arabidopsis microtubule-associated protein AtMAP65-2 acts as a microtubule stabilizer.
24440291,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24440291,2014,"Pogorelko GV, et al.",Characterization of three Arabidopsis thaliana immunophilin genes involved in the plant defense response against Pseudomonas syringae.
19500301,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19500301,2009,"Yu QB, et al.","AtECB2, a pentatricopeptide repeat protein, is required for chloroplast transcript accD RNA editing and early chloroplast biogenesis in Arabidopsis thaliana."
19223513,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19223513,2009,"Jamai A, et al.",Arabidopsis photorespiratory serine hydroxymethyltransferase activity requires the mitochondrial accumulation of ferredoxin-dependent glutamate synthase.
19223515,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19223515,2009,"Simpson C, et al.",An Arabidopsis GPI-anchor plasmodesmal neck protein with callose binding activity and potential to regulate cell-to-cell trafficking.
21124849,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/21124849,2010,"Oikawa A, et al.",An integrative approach to the identification of Arabidopsis and rice genes involved in xylan and secondary wall development.
23104832,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23104832,2012,"Luo D, et al.",The DUF59 Family Gene AE7 Acts in the Cytosolic Iron-Sulfur Cluster Assembly Pathway to Maintain Nuclear Genome Integrity in Arabidopsis.
22719742,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22719742,2012,"Jung J, et al.",Translocation of phospholipase A2α to apoplasts is modulated by developmental stages and bacterial infection in Arabidopsis.
11509693,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/11509693,2001,"Wang H, et al.",Direct interaction of Arabidopsis cryptochromes with COP1 in light control development
27449211,,,GFP,,,2016,Yoshinari A et al.,DRP1-Dependent Endocytosis is Essential for Polar Localization and Boron-Induced Degradation of the Borate Transporter BOR1 in Arabidopsis thaliana.
12897249,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12897249,2003,"Gardiner JC, et al.",Control of cellulose synthase complex localization in developing xylem
22080600,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22080600,2011,"Günl M, et al.","AXY8 encodes an α-fucosidase, underscoring the importance of apoplastic metabolism on the fine structure of Arabidopsis cell wall polysaccharides."
19597944,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19597944,2009,"Knill T, et al.",Arabidopsis thaliana encodes a bacterial-type heterodimeric isopropylmalate isomerase involved in both Leu biosynthesis and the Met chain elongation pathway of glucosinolate formation.
14992728,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/14992728,2004,"Lawrence RJ, et al.",A concerted DNA methylation/histone methylation switch regulates rRNA gene dosage control and nucleolar dominance
23975897,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23975897,2013,"Yamaoka S, et al.",Identification and dynamics of Arabidopsis adaptor protein-2 complex and its involvement in floral organ development.
17786468,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/17786468,2007,"Zhang Y, et al.",Cold responsive EARLI1 type HyPRPs improve freezing survival of yeast cells and form higher order complexes in plants
16553900,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16553900,2006,"Sridha S, et al.",Identification of AtHD2C as a novel regulator of abscisic acid responses in Arabidopsis
15356332,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15356332,2004,"Kiba T, et al.","Arabidopsis response regulator, ARR22, ectopic expression of which results in phenotypes similar to the wol cytokinin-receptor mutant"
18460606,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18460606,2008,"Jensen JK, et al.",Identification of a xylogalacturonan xylosyltransferase involved in pectin biosynthesis in Arabidopsis.
23898343,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23898343,2013,"Conte SS, et al.",Arabidopsis thaliana Yellow Stripe1-Like4 and Yellow Stripe1-Like6 localize to internal cellular membranes and are involved in metal ion homeostasis.
21182578,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/21182578,2011,"Sorieul M, et al.",Mechanisms and effects of retention of over-expressed aquaporin AtPIP2;1 in the endoplasmic reticulum.
24676855,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24676855,2014,"Dong T, et al.",Abscisic acid uridine diphosphate glucosyltransferases play a crucial role in abscisic acid homeostasis in Arabidopsis.
15842628,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15842628,2005,"Kurup S, et al.",Marking cell lineages in living tissues
23019378,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23019378,2012,"Derrien B, et al.",Degradation of the antiviral component ARGONAUTE1 by the autophagy pathway.
15028217,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15028217,2004,"Muller S, et al.",The plant microtubule-associated protein AtMAP65-3/PLE is essential for cytokinetic phragmoplast function
15292395,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15292395,2004,"Champion A, et al.","AtSGP1, AtSGP2 and MAP4K alpha are nucleolar plant proteins that can complement fission yeast mutants lacking a functional SIN pathway"
25622028,,,GFP,,http://doi.org/10.1371/journal.pgen.1004970,2015,Maheshwari S et al.,Naturally occurring differences in CENH3 affect chromosome segregation in zygotic mitosis of hybrids.
16207701,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/16207701,2006,"Peltier JB, et al.",The oligomeric stromal proteome of Arabidopsis thaliana chloroplasts
15086805,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15086805,2004,"Asano T, et al.","A mutation of the CRUMPLED LEAF gene that encodes a protein localized in the outer envelope membrane of plastids affects the pattern of cell division, cell differentiation, and plastid division in Arabidopsis"
15086806,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15086806,2004,"Mano S, et al.","An Arabidopsis dynamin-related protein, DRP3A, controls both peroxisomal and mitochondrial division"
16297072,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16297072,2005,"La Camera S, et al.",A pathogen-inducible patatin-like lipid acyl hydrolase facilitates fungal and bacterial host colonization in Arabidopsis
19033528,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19033528,2008,"Sousa E, et al.",Arabidopsis phosphatidylinositol-4-monophosphate 5-kinase 4 regulates pollen tube growth and polarity by modulating membrane recycling.
24566535,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24566535,2014,"Merkulova EA, et al.",Assessment and optimization of autophagy monitoring methods in Arabidopsis roots indicate direct fusion of autophagosomes with vacuoles.
24278440,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24278440,2013,"Zheng S, et al.","A novel AtKEA gene family, homolog of bacterial K+/H+ antiporters, plays potential roles in K+ homeostasis and osmotic adjustment in Arabidopsis."
18042043,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18042043,2008,"Tan FC, et al.",Identification and characterization of the Arabidopsis gene encoding the tetrapyrrole biosynthesis enzyme uroporphyrinogen III synthase
22073231,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22073231,2011,"Lisso J, et al.",NFX1-LIKE2 (NFXL2) suppresses abscisic acid accumulation and stomatal closure in Arabidopsis thaliana.
15067507,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15067507,2004,"He XJ, et al.",A salt-responsive receptor-like kinase gene regulated by the ethylene signaling pathway encodes a plasma membrane serine/threonine kinase
17287892,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/17287892,2007,"Chen AP, et al.","Root and vascular tissue-specific expression of glycine-rich protein AtGRP9 and its interaction with AtCAD5, a cinnamyl alcohol dehydrogenase, in Arabidopsis thaliana"
25329561,,,GFP,,http://doi.org/10.1111/nph.13088,2015,Wang LC et al.,"Arabidopsis HIT4, a regulator involved in heat-triggered reorganization of chromatin and release of transcriptional gene silencing, relocates from chromocenters to the nucleolus in response to heat stress."
23886624,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23886624,2013,"Falcone Ferreyra ML, et al.",New evidence for differential roles of l10 ribosomal proteins from Arabidopsis.
25402197,,,MS/MS,,http://doi.org/10.1111/ppl.12308,2015,Yin L et al.,The membrane proteome of stroma thylakoids from Arabidopsis thaliana studied by successive in-solution and in-gel digestion.
11251092,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/11251092,2001,"Boisnard-Lorig C, et al.",Dynamic analyses of the expression of the HISTONE::YFP fusion protein in arabidopsis show that syncytial endosperm is divided in mitotic domains
24397334,,,"MS/MS,GFP",,http://www.ncbi.nlm.nih.gov/pubmed/24397334,2014,"Rodrigues RB, et al.",Expression of a translationally fused TAP-tagged plasma membrane proton pump in Arabidopsis thaliana.
22452852,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22452852,2012,"Tsugama D, et al.","A bZIP protein, VIP1, is a regulator of osmosensory signaling in Arabidopsis."
14741350,,,"MS/MS,GFP",,http://www.ncbi.nlm.nih.gov/pubmed/14741350,2004,"Chew O, et al.",A plant outer mitochondrial membrane protein with high amino acid sequence identity to a chloroplast protein import receptor
25805245,,,MS/MS,,http://doi.org/10.1016/j.jprot.2015.03.002,2015,Szuba A et al.,Nitration of plant apoplastic proteins from cell suspension cultures.
26713351,,,GFP,,,2016,Dong OX et al.,Arabidopsis TAF15b Localizes to RNA Processing Bodies and Contributes to snc1-Mediated Autoimmunity.
21193571,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/21193571,2010,"Tian H, et al.",Arabidopsis NPCC6/NaKR1 Is a Phloem Mobile Metal Binding Protein Necessary for Phloem Function and Root Meristem Maintenance.
24368787,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24368787,2013,"Angelovici R, et al.",Genome-wide analysis of branched-chain amino acid levels in Arabidopsis seeds.
25461698,,,GFP,,http://doi.org/10.1016/j.plaphy.2014.11.011,2015,Ma X et al.,Overexpression of wheat NF-YA10 gene regulates the salinity stress response in Arabidopsis thaliana.
19076295,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19076295,2009,"Rigas S, et al.",Role of Lon1 protease in post-germinative growth and maintenance of mitochondrial function in Arabidopsis thaliana.
16602701,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/16602701,2006,"Elortza F, et al.",Modification-specific proteomics of plasma membrane proteins: identification and characterization of glycosylphosphatidylinositol-anchored proteins released upon phospholipase D treatment
18236008,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18236008,2008,"Busquets A, et al.",Arabidopsis thaliana contains a single gene encoding squalene synthase
11731464,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/11731464,2001,"Gaudin V, et al.",Mutations in LIKE HETEROCHROMATIN PROTEIN 1 affect flowering time and plant architecture in Arabidopsis
26289422,,,GFP,,http://doi.org/10.1186/s13104-015-1333-3,2015,Takahashi S et al.,Water-soluble chlorophyll-binding proteins from Arabidopsis thaliana and Raphanus sativus target the endoplasmic reticulum body.
15749761,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15749761,2005,"Zhou C, et al.",HISTONE DEACETYLASE19 is involved in jasmonic acid and ethylene signaling of pathogen response in Arabidopsis
24689873,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24689873,2014,"Kong X, et al.",Quantitative proteomics analysis reveals that the nuclear cap-binding complex proteins arabidopsis CBP20 and CBP80 modulate the salt stress response.
12368496,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12368496,2002,"Lavy M, et al.","A cell-specific, prenylation-independent mechanism regulates targeting of type II RACs"
16709198,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16709198,2006,"Zhang J, et al.",Over-expression of SOB5 suggests the involvement of a novel plant protein in cytokinin-mediated development
15689342,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15689342,2005,"Zhang WK, et al.",Characterization of a novel cell cycle-related gene from Arabidopsis
17344055,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/17344055,2007,"Denslow SA, et al.",Regulation of the Arabidopsis thaliana vitamin B6 biosynthesis genes by abiotic stress
18179725,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18179725,2008,"Golomb L, et al.",Different subcellular localizations and functions of Arabidopsis myosin VIII.
16123046,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16123046,2005,"Zhou A, et al.",Arabidopsis BRS1 is a secreted and active serine carboxypeptidase
26748395,,,MS/MS,,,2016,Pedrazzini E et al.,"The Arabidopsis tonoplast is almost devoid of glycoproteins with complex N-glycans, unlike the rat lysosomal membrane."
12825701,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12825701,2003,"Qin H, et al.",Epigenetic interactions between Arabidopsis transgenes: characterization in light of transgene integration sites
16166385,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16166385,2005,"Chua YL, et al.",The bromodomain protein GTE6 controls leaf development in Arabidopsis by histone acetylation at ASYMMETRIC LEAVES1
21483488,,,GFP,,http://doi.org/10.1371/journal.ppat.1001327,2011,Bouwmeester K et al.,The lectin receptor kinase LecRK-I.9 is a novel Phytophthora resistance component and a potential host target for a RXLR effector.
15888686,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15888686,2005,"Abdel-Ghany SE, et al.",Iron-sulfur cluster biogenesis in chloroplasts. Involvement of the scaffold protein CpIscA
18599653,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18599653,2008,"Steffen JG, et al.",AGL61 interacts with AGL80 and is required for central cell development in Arabidopsis.
19288221,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/19288221,2010,"Ni RJ, et al.",Identification of low abundance polyA-binding proteins in Arabidopsis chloroplast using polyA-affinity column.
23335625,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23335625,2013,"Ellinger D, et al.",Elevated early callose deposition results in complete penetration resistance to powdery mildew in Arabidopsis.
15377779,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/15377779,2004,"Su YH, et al.",Molecular and functional characterization of a family of amino acid transporters from Arabidopsis
23396599,,,"MS/MS,GFP",,http://www.ncbi.nlm.nih.gov/pubmed/23396599,2013,"Sakamoto Y, et al.",LITTLE NUCLEI 1 and 4 Regulate Nuclear Morphology in Arabidopsis thaliana.
23396598,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23396598,2013,"Kong Y, et al.",Tissue-specific expression of SMALL AUXIN UP RNA41 differentially regulates cell expansion and root meristem patterning in Arabidopsis.
9843496,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/9843496,1998,"Muller A, et al.",AtPIN2 defines a locus of Arabidopsis for root gravitropism control
18397324,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18397324,2008,"Nagasaki N, et al.","A hydrophilic cation-binding protein of Arabidopsis thaliana, AtPCaP1, is localized to plasma membrane via N-myristoylation and interacts with calmodulin and the phosphatidylinositol phosphates PtdIns(3,4,5)P(3) and PtdIns(3,5)P(2)."
25587034,,,MS/MS,,http://doi.org/10.1074/mcp.M114.042697,2015,Wang X et al.,Proteomic study of microsomal proteins reveals a key role for Arabidopsis annexin 1 in mediating heat stress-induced increase in intracellular calcium levels.
28444333,,,GFP,,,2017,Yuen CYL et al.,"A Non-Classical Member of the Protein Disulfide Isomerase Family, PDI7 of Arabidopsis thaliana, Localizes to the cis-Golgi and Endoplasmic Reticulum Membranes."
24824485,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24824485,2014,"Khosla A, et al.","HD-Zip Proteins GL2 and HDG11 Have Redundant Functions in Arabidopsis Trichomes, and GL2 Activates a Positive Feedback Loop via MYB23."
12215502,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12215502,2002,"Hosoda K, et al.",Molecular structure of the GARP family of plant Myb-related DNA binding motifs of the Arabidopsis response regulators
23283982,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/23283982,2013,"Fendrych M, et al.",Visualization of the exocyst complex dynamics at the plasma membrane of Arabidopsis thaliana.
20143129,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/20143129,2010,"Tseng CC, et al.",Editing of accD and ndhF chloroplast transcripts is partially affected in the Arabidopsis vanilla cream1 mutant.
14605234,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/14605234,2003,"Ito M, et al.",Methylated DNA-binding proteins from Arabidopsis
19138429,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/19138429,2009,"Urbanus SL, et al.",In planta localisation patterns of MADS domain proteins during floral development in Arabidopsis thaliana.
10938344,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/10938344,2000,"Friedrichsen DM, et al.",Brassinosteroid-insensitive-1 is a ubiquitously expressed leucine-rich repeat receptor serine/threonine kinase
12461128,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12461128,2002,"Ito T, et al.","The MALE STERILITY1 gene of Arabidopsis, encoding a nuclear protein with a PHD-finger motif, is expressed in tapetal cells and is required for pollen maturation"
27149614,,,GFP,,http://dx.doi.org/10.1080/15476286.2016.1184384,2016,Leu KC et al.,"Distinct role of Arabidopsis mitochondrial P-type pentatricopeptide repeat protein-modulating editing protein, PPME, in nad1 RNA editing."
18088326,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18088326,2008,"Nomura H, et al.",Evidence for chloroplast control of external Ca2+-induced cytosolic Ca2+ transients and stomatal closure
16803883,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16803883,2006,"Smyczynski C, et al.",The C terminus of the immunophilin PASTICCINO1 is required for plant development and for interaction with a NAC-like transcription factor
16813575,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16813575,2006,"Morita MT, et al.","A C2H2-type zinc finger protein, SGR5, is involved in early events of gravitropism in Arabidopsis inflorescence stems"
17028205,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/17028205,2006,"Lermontova I, et al.",Loading of Arabidopsis centromeric histone CENH3 occurs mainly during G2 and requires the presence of the histone fold domain
16813573,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/16813573,2006,"Mano S, et al.",The Arabidopsis pex12 and pex13 mutants are defective in both PTS1- and PTS2-dependent protein transport to peroxisomes
22427335,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22427335,2012,"Janski N, et al.","The GCP3-Interacting Proteins GIP1 and GIP2 Are Required for γ-Tubulin Complex Protein Localization, Spindle Integrity, and Chromosomal Stability."
24092888,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/24092888,2013,"Kong Y, et al.",GALACTURONOSYLTRANSFERASE-LIKE5 is involved in the production of Arabidopsis seed coat mucilage.
26240315,,,GFP,,http://dx.doi.org/10.1073/pnas.1510140112,2015,Kumar MN et al.,At14a-Like1 participates in membrane-associated mechanisms promoting growth during drought in Arabidopsis thaliana.
26684465,,,GFP,,,2015,Nakabayashi K et al.,Seed Dormancy in Arabidopsis Requires Self-Binding Ability of DOG1 Protein and the Presence of Multiple Isoforms Generated by Alternative Splicing.
11826309,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/11826309,2002,"Peltier JB, et al.",Central functions of the lumenal and peripheral thylakoid proteome of Arabidopsis determined by experimentation and genome-wide prediction
22010034,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22010034,2011,"Li X, et al.",Single-molecule analysis of PIP2;1 dynamics and partitioning reveals multiple modes of Arabidopsis plasma membrane aquaporin regulation.
22642987,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/22642987,2012,"Wen F, et al.",A protein phosphatase 2A catalytic subunit modulates blue light-induced chloroplast avoidance movements through regulating actin cytoskeleton in Arabidopsis.
11826301,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/11826301,2002,"Wen CK, et al.",Arabidopsis RGL1 encodes a negative regulator of gibberellin responses
27208231,,,GFP,,http://dx.doi.org/10.1104/pp.16.00256,2016,Tsugama D et al.,The bZIP Protein VIP1 Is Involved in Touch Responses in Arabidopsis Roots.
18502847,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/18502847,2008,"Konopka CA, et al.",Dynamics of Arabidopsis dynamin-related protein 1C and a clathrin light chain at the plasma membrane.
12154138,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12154138,2002,"Suzuki M, et al.","A xylanase, AtXyn1, is predominantly expressed in vascular bundles, and four putative xylanase genes were identified in the Arabidopsis thaliana genome"
12492836,,,GFP,,http://www.ncbi.nlm.nih.gov/pubmed/12492836,2002,"Fleck B, et al.",Evidence that the Arabidopsis nuclear gibberellin signalling protein GAI is not destabilised by gibberellin
12154131,,,MS/MS,,http://www.ncbi.nlm.nih.gov/pubmed/12154131,2002,"Fukao Y, et al.",Proteomic analysis of leaf peroxisomal proteins in greening cotyledons of Arabidopsis thaliana
