Input,Output,PMID
for specific labeling of golgi bodies we obtained the _PROTEIN_ _METHOD_ construct that boevink et al used to describe the remarkable motility of plant _LOCATION_ .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _METHOD_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi tail in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _METHOD_ _PROTEIN_ or mitochondrial marker coxiv gfp or _BLANKL_ marker _BLANKP_ _BLANKM_ .,Y,17288617
after transient expression both _METHOD_ _PROTEIN_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,Y,17288617
transient expression of yfp myosin xi tail or yfp myosin xi tail in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _METHOD_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,Y,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _BLANKL_ and _PROTEIN_ _METHOD_ for _LOCATION_ labeling .,Y,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _METHOD_ .,Y,17288617
we produced n terminal _METHOD_ or _BLANKM_ fusion genes with _PROTEIN_ . after transient expression both _BLANKM_ _BLANKP_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _BLANKM_ or _METHOD_ fusion genes with _PROTEIN_ . after transient expression both _BLANKM_ _BLANKP_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _BLANKM_ or _BLANKM_ fusion genes with _PROTEIN_ . after transient expression both _METHOD_ _BLANKP_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _BLANKM_ or _BLANKM_ fusion genes with _PROTEIN_ . after transient expression both _BLANKM_ _BLANKP_ and _METHOD_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _METHOD_ or _BLANKM_ fusion genes with _BLANKP_ . after transient expression both _BLANKM_ _PROTEIN_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _BLANKM_ or _METHOD_ fusion genes with _BLANKP_ . after transient expression both _BLANKM_ _PROTEIN_ and _BLANKM_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
after transient expression both _BLANKM_ _PROTEIN_ and _METHOD_ _BLANKP_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _METHOD_ or _BLANKM_ fusion genes with _BLANKP_ . after transient expression both _BLANKM_ _BLANKP_ and _BLANKM_ _PROTEIN_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
we produced n terminal _BLANKM_ or _METHOD_ fusion genes with _BLANKP_ . after transient expression both _BLANKM_ _BLANKP_ and _BLANKM_ _PROTEIN_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
after transient expression both _METHOD_ _BLANKP_ and _BLANKM_ _PROTEIN_ constructs did label _LOCATION_ in onion cells as well as in tobacco leaves as expected .,N,17288617
the labeled _BLANKL_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _METHOD_ . figure _BLANKM_ _BLANKP_ and _BLANKM_ _BLANKP_ label _LOCATION_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _BLANKM_ . figure _METHOD_ _BLANKP_ and _BLANKM_ _BLANKP_ label _BLANKL_ .,N,17288617
the labeled _BLANKL_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _BLANKM_ . figure _METHOD_ _BLANKP_ and _BLANKM_ _BLANKP_ label _LOCATION_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _BLANKM_ . figure _BLANKM_ _BLANKP_ and _METHOD_ _BLANKP_ label _BLANKL_ .,N,17288617
the labeled _BLANKL_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _PROTEIN_ signal fused to _BLANKM_ . figure _BLANKM_ _BLANKP_ and _METHOD_ _BLANKP_ label _LOCATION_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _METHOD_ . figure _BLANKM_ _PROTEIN_ and _BLANKM_ _BLANKP_ label _BLANKL_ .,N,17288617
the labeled _BLANKL_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _METHOD_ . figure _BLANKM_ _PROTEIN_ and _BLANKM_ _BLANKP_ label _LOCATION_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _BLANKM_ . figure _METHOD_ _PROTEIN_ and _BLANKM_ _BLANKP_ label _BLANKL_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _BLANKM_ . figure _BLANKM_ _PROTEIN_ and _METHOD_ _BLANKP_ label _BLANKL_ .,N,17288617
figure _BLANKM_ _PROTEIN_ and _BLANKM_ _BLANKP_ label _LOCATION_ . a transient expression of _METHOD_ _BLANKP_ in onion cells h after bombardment .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _METHOD_ . figure _BLANKM_ _BLANKP_ and _BLANKM_ _PROTEIN_ label _BLANKL_ .,N,17288617
the labeled _BLANKL_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _METHOD_ . figure _BLANKM_ _BLANKP_ and _BLANKM_ _PROTEIN_ label _LOCATION_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _BLANKM_ . figure _METHOD_ _BLANKP_ and _BLANKM_ _PROTEIN_ label _BLANKL_ .,N,17288617
the labeled _LOCATION_ exhibited motility similar to that previously observed in arabidopsis plants expressing the _BLANKP_ signal fused to _BLANKM_ . figure _BLANKM_ _BLANKP_ and _METHOD_ _PROTEIN_ label _BLANKL_ .,N,17288617
figure _BLANKM_ _BLANKP_ and _BLANKM_ _PROTEIN_ label _LOCATION_ . a transient expression of _METHOD_ _BLANKP_ in onion cells h after bombardment .,N,17288617
figure _METHOD_ _BLANKP_ and _BLANKM_ _BLANKP_ label _LOCATION_ . a transient expression of _BLANKM_ _PROTEIN_ in onion cells h after bombardment .,N,17288617
figure _BLANKM_ _BLANKP_ and _METHOD_ _BLANKP_ label _LOCATION_ . a transient expression of _BLANKM_ _PROTEIN_ in onion cells h after bombardment .,N,17288617
figure _BLANKM_ _BLANKP_ and _BLANKM_ _BLANKP_ label _LOCATION_ . a transient expression of _METHOD_ _PROTEIN_ in onion cells h after bombardment .,N,17288617
we expressed either the _PROTEIN_ _METHOD_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _LOCATION_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _PROTEIN_ _METHOD_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _LOCATION_ _BLANKP_ _METHOD_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _METHOD_ for _LOCATION_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _METHOD_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _LOCATION_ _BLANKP_ _BLANKM_ for _BLANKL_ and _BLANKP_ _METHOD_ for _BLANKL_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _LOCATION_ and _BLANKP_ _METHOD_ for _BLANKL_ labeling .,N,17288617
we expressed either the _PROTEIN_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _BLANKL_ and _BLANKP_ _METHOD_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _LOCATION_ _PROTEIN_ _BLANKM_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _BLANKL_ _PROTEIN_ _BLANKM_ for _LOCATION_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _BLANKL_ _PROTEIN_ _BLANKM_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _LOCATION_ _PROTEIN_ _METHOD_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _PROTEIN_ _METHOD_ for _BLANKL_ and _BLANKP_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _LOCATION_ _PROTEIN_ _BLANKM_ for _BLANKL_ and _BLANKP_ _METHOD_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _PROTEIN_ _BLANKM_ for _LOCATION_ and _BLANKP_ _METHOD_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _PROTEIN_ _BLANKM_ for _BLANKL_ and _BLANKP_ _METHOD_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _LOCATION_ _BLANKP_ _BLANKM_ for _BLANKL_ and _PROTEIN_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _LOCATION_ and _PROTEIN_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _METHOD_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _BLANKL_ and _PROTEIN_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _LOCATION_ _BLANKP_ _METHOD_ for _BLANKL_ and _PROTEIN_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _METHOD_ for _LOCATION_ and _PROTEIN_ _BLANKM_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _METHOD_ for _BLANKL_ and _PROTEIN_ _BLANKM_ for _LOCATION_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _LOCATION_ _BLANKP_ _BLANKM_ for _BLANKL_ and _PROTEIN_ _METHOD_ for _BLANKL_ labeling .,N,17288617
we expressed either the _BLANKP_ _BLANKM_ construct for _BLANKL_ _BLANKP_ _BLANKM_ for _LOCATION_ and _PROTEIN_ _METHOD_ for _BLANKL_ labeling .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _METHOD_ _PROTEIN_ or _LOCATION_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _METHOD_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _LOCATION_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _BLANKM_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _METHOD_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _PROTEIN_ or _LOCATION_ marker _BLANKP_ _METHOD_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _METHOD_ or _LOCATION_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _BLANKM_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _PROTEIN_ or _LOCATION_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _PROTEIN_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _LOCATION_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _METHOD_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _METHOD_ _BLANKP_ or _LOCATION_ marker _PROTEIN_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _METHOD_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ or _LOCATION_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _METHOD_ or _BLANKL_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _METHOD_ or _LOCATION_ marker _BLANKP_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _LOCATION_ marker _PROTEIN_ _BLANKM_ or _BLANKL_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _BLANKM_ _BLANKP_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ or _LOCATION_ marker _BLANKP_ _METHOD_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _LOCATION_ marker _METHOD_ _BLANKP_ or _BLANKL_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ .,N,17288617
transient expression of yfp myosin xi tail or yfp myosin xi nocoil in tobacco leaves h after agrobacterium co infiltration with either _BLANKL_ marker _METHOD_ _BLANKP_ or _LOCATION_ marker _BLANKP_ _BLANKM_ or _BLANKL_ marker _PROTEIN_ _BLANKM_ .,N,17288617
